,date,parks,away,home,homewin,etcs,times,day,visit,place,number_audience
205,2018/05/17,고척,KIA,넥센,win,-, 18:30 ,목,KIA,고척,11464
206,2018/05/18,고척,삼성,넥센,lose,-, 18:30 ,금,삼성,고척,3298
207,2018/05/19,고척,삼성,넥센,win,-, 17:00 ,토,삼성,고척,8547
208,2018/05/20,고척,삼성,넥센,lose,-, 14:00 ,일,삼성,고척,7610
209,2018/05/25,고척,롯데,넥센,win,-, 18:30 ,금,롯데,고척,6131
210,2018/05/26,고척,롯데,넥센,win,-, 17:00 ,토,롯데,고척,12331
211,2018/05/27,고척,롯데,넥센,lose,-, 14:00 ,일,롯데,고척,9964
212,2018/05/29,광주,넥센,KIA,lose,-, 18:30 ,화,넥센,광주,9199
213,2018/05/30,광주,넥센,KIA,lose,-, 18:30 ,수,넥센,광주,9591
214,2018/05/31,광주,넥센,KIA,win,-, 18:30 ,목,넥센,광주,9928
215,2018/05/01,사직,KIA,롯데,win,-, 18:30 ,화,KIA,사직,12758
216,2018/05/02,사직,KIA,롯데,lose,-, 18:30 ,수,KIA,사직,7513
217,2018/05/03,사직,KIA,롯데,win,-, 18:30 ,목,KIA,사직,12267
218,2018/05/04,광주,NC,KIA,lose,-, 18:30 ,금,NC,광주,15851
219,2018/05/05,광주,NC,KIA,win,-, 14:00 ,토,NC,광주,20500
220,2018/05/06,광주,NC,KIA,win,-, 14:00 ,일,NC,광주,16532
221,2018/05/08,광주,두산,KIA,win,-, 18:30 ,화,두산,광주,8734
222,2018/05/09,광주,두산,KIA,lose,-, 18:30 ,수,두산,광주,14319
223,2018/05/10,광주,두산,KIA,win,-, 18:30 ,목,두산,광주,13245
224,2018/05/11,대구,KIA,삼성,win,-, 18:30 ,금,KIA,대구,10391
225,2018/05/13,대구,KIA,삼성,lose,-, 14:00 ,일,KIA,대구,15135
226,2018/05/22,광주,KT,KIA,win,-, 14:00 ,화,KT,광주,19693
227,2018/05/23,광주,KT,KIA,lose,-, 18:30 ,수,KT,광주,11334
228,2018/05/24,광주,KT,KIA,lose,-, 18:30 ,목,KT,광주,11297
229,2018/05/25,마산,KIA,NC,lose,-, 18:30 ,금,KIA,마산,8065
230,2018/05/26,마산,KIA,NC,win,-, 17:00 ,토,KIA,마산,10088
231,2018/05/27,마산,KIA,NC,lose,-, 14:00 ,일,KIA,마산,8019
232,2018/05/08,수원,삼성,KT,lose,-, 18:30 ,화,삼성,수원,3698
233,2018/05/09,수원,삼성,KT,lose,-, 18:30 ,수,삼성,수원,5985
234,2018/05/10,수원,삼성,KT,win,-, 18:30 ,목,삼성,수원,5979
235,2018/05/15,포항,LG,삼성,win,-, 18:30 ,화,LG,포항,6787
236,2018/05/16,포항,LG,삼성,lose,-, 18:30 ,수,LG,포항,5720
237,2018/05/17,포항,LG,삼성,lose,-, 18:30 ,목,LG,포항,5614
238,2018/05/22,대구,롯데,삼성,win,-, 14:00 ,화,롯데,대구,24000
239,2018/05/23,대구,롯데,삼성,win,-, 18:30 ,수,롯데,대구,12008
240,2018/05/24,대구,롯데,삼성,win,-, 18:30 ,목,롯데,대구,11270
241,2018/05/25,잠실,삼성,두산,lose,-, 18:30 ,금,삼성,잠실,15168
242,2018/05/26,잠실,삼성,두산,win,-, 17:00 ,토,삼성,잠실,25000
243,2018/05/27,잠실,삼성,두산,win,-, 14:00 ,일,삼성,잠실,21171
244,2018/05/29,대구,KT,삼성,lose,-, 18:30 ,화,KT,대구,7342
245,2018/05/30,대구,KT,삼성,win,-, 18:30 ,수,KT,대구,7705
246,2018/05/31,대구,KT,삼성,win,-, 18:30 ,목,KT,대구,8218
247,2018/05/08,잠실,롯데,LG,lose,-, 18:30 ,화,롯데,잠실,13448
248,2018/05/09,잠실,롯데,LG,win,-, 18:30 ,수,롯데,잠실,18561
249,2018/05/10,잠실,롯데,LG,lose,-, 18:30 ,목,롯데,잠실,19697
250,2018/05/11,사직,KT,롯데,win,-, 18:30 ,금,KT,사직,17026
251,2018/05/13,사직,KT,롯데,win,-, 14:00 ,일,KT,사직,18650
252,2018/05/15,마산,롯데,NC,lose,-, 18:30 ,화,롯데,마산,10012
253,2018/05/17,마산,롯데,NC,lose,-, 18:30 ,목,롯데,마산,7035
254,2018/05/18,사직,두산,롯데,lose,-, 18:30 ,금,두산,사직,11287
255,2018/05/19,사직,두산,롯데,win,-, 17:00 ,토,두산,사직,25000
256,2018/05/20,사직,두산,롯데,lose,-, 14:00 ,일,두산,사직,25000
257,2018/05/29,사직,LG,롯데,lose,-, 18:30 ,화,LG,사직,14775
258,2018/05/30,사직,LG,롯데,lose,-, 18:30 ,수,LG,사직,15309
259,2018/05/31,사직,LG,롯데,lose,-, 18:30 ,목,LG,사직,10389
260,2018/05/01,잠실,KT,두산,win,-, 18:30 ,화,KT,잠실,13421
261,2018/05/03,잠실,KT,두산,lose,-, 18:30 ,목,KT,잠실,10196
262,2018/05/04,잠실,두산,LG,lose,-, 18:30 ,금,두산,잠실,23098
263,2018/05/05,잠실,두산,LG,lose,-, 14:00 ,토,두산,잠실,25000
264,2018/05/06,잠실,두산,LG,lose,-, 14:00 ,일,두산,잠실,21014
265,2018/05/22,잠실,NC,LG,win,-, 14:00 ,화,NC,잠실,18543
266,2018/05/23,잠실,NC,LG,win,-, 18:30 ,수,NC,잠실,9279
267,2018/05/24,잠실,NC,LG,win,-, 18:30 ,목,NC,잠실,11075
268,2018/05/25,수원,LG,KT,win,-, 18:30 ,금,LG,수원,10009
269,2018/05/26,수원,LG,KT,lose,-, 17:00 ,토,LG,수원,18479
270,2018/05/27,수원,LG,KT,win,-, 14:00 ,일,LG,수원,16232
271,2018/05/18,수원,NC,KT,lose,-, 18:30 ,금,NC,수원,3737
272,2018/05/19,수원,NC,KT,win,-, 17:00 ,토,NC,수원,11752
273,2018/05/20,수원,NC,KT,win,-, 14:00 ,일,NC,수원,9497
274,2018/06/01,문학,KT,SK,win,-, 18:30 ,금,KT,문학,14451
275,2018/06/02,문학,KT,SK,win,-, 17:00 ,토,KT,문학,18465
276,2018/06/03,문학,KT,SK,lose,-, 17:00 ,일,KT,문학,14028
277,2018/06/05,문학,삼성,SK,win,-, 18:30 ,화,삼성,문학,10828
278,2018/06/06,문학,삼성,SK,win,-, 17:00 ,수,삼성,문학,20381
